Tópico 1,Tópico 2,Tópico 3,Tópico 4,Tópico 5,Documento
0.0018313297932181334,0.9927290074875575,0.0018119887279890539,0.0018109769121198928,0.001816697079115329,1535
0.0013030717591525159,0.0013035815920320506,0.9947862515862806,0.0013058213682952072,0.0013012736942394868,16
0.0008940542227050025,0.0008950402459998775,0.0008937485479672069,0.0008943331027385838,0.9964228238805893,1385
0.9946462221710646,0.0013468187038131335,0.0013323567661105574,0.001335400898355671,0.001339201460656051,1433
0.9951631997526518,0.001209673800357434,0.0012096018786460685,0.0012070063418453717,0.001210518226499226,369
0.002121195911778317,0.9915138523375375,0.002114584856226916,0.0021214417359206182,0.0021289251585366836,375
0.0014144445941206287,0.16630035775189284,0.001408679336464947,0.0014191850739614703,0.8294573332435602,447
0.993224585343609,0.0016928610659957754,0.0016934384592877413,0.0016935099308861437,0.0016956052002213176,1656
0.0012973541220428451,0.001297481824978157,0.0013033103620411818,0.9948049097987083,0.0012969438922295776,718
0.0026419915419703473,0.9894131255173562,0.0026419387547705654,0.0026522485528578978,0.0026506956330449886,1282
0.0009211762466243723,0.0009218116473413368,0.9963150659691091,0.0009208726450086311,0.0009210734919164144,816
0.002590631069157251,0.9896651688586978,0.0025848390276231644,0.002576828099092445,0.0025825329454293067,855
0.001447076281743114,0.9942099198341694,0.0014430864532147265,0.001448738215126562,0.0014511792157462225,935
0.0011061343520144833,0.0011074321469379024,0.0011033532459966994,0.001105077051737695,0.9955780032033132,1723
0.0014242679025909318,0.9942954947512341,0.0014231230538192855,0.0014310861931695834,0.0014260280991860433,1785
0.002523967326166343,0.0025441279288577604,0.002520631093165135,0.9898907187239407,0.0025205549278700732,1228
0.0015709764596117943,0.0015759326499193789,0.0015678444018407854,0.993706897817039,0.0015783486715889453,2009
